0	24	314	67
1	804	2718	20
2	1077	3502	6
3	1312	4432	18
4	677	245	60
5	581	4004	9
6	904	4629	17
7	1390	2802	3
8	1420	3356	3
9	695	3310	54
10	3414	1110	54
11	3259	2884	62
12	1128	3372	6
13	975	1412	2
14	376	1491	6
15	897	1719	6
16	1395	4199	54
17	1077	2559	6
18	1722	3256	23
19	2865	1655	41
20	3228	2693	6
21	2347	2193	6
22	3504	4511	67
23	1066	1700	25
24	1440	4159	79
25	1068	238	32
26	1784	3586	60
27	1716	736	6
28	1554	1869	6
29	904	361	32
30	1715	579	25
31	948	3720	66
32	0	0	0
33	2347	2559	6
34	302	1250	6
35	2906	2892	6
36	904	1824	50
37	570	1073	6
38	3134	270	6
39	292	3578	8
40	1752	2838	6
41	0	0	0
42	911	4270	68
43	692	2424	44
44	1770	583	6
45	846	2961	68
46	2906	4330	6
47	79	1951	6
48	779	3645	6
49	3298	2437	27
50	1066	2619	57
51	2694	2505	6
52	3172	4645	77
53	2841	4510	20
54	804	1914	17
55	595	3254	6
56	1969	2260	79
57	660	4467	22
58	2462	1850	6
59	3104	721	62
60	804	2040	50
61	593	935	68
62	0	0	0
63	1525	3286	39
64	1914	987	6
65	430	748	24
66	898	2423	60
67	2989	4304	6
68	376	3540	6
69	1104	2649	32
70	3187	3852	23
71	2971	941	6
72	1879	4716	21
73	2975	2734	25
74	376	1491	6
75	810	4643	3
76	1601	301	77
77	812	1311	11
78	1798	4231	32
79	570	2607	6
80	1037	2424	6
81	3150	1272	22
82	3248	4694	53
83	1289	477	22
84	3298	2437	27
85	1753	1739	18
86	2756	4223	60
87	812	877	32
88	2380	2210	47
89	1066	613	32
90	1066	3960	41
91	376	1491	6
92	79	374	6
93	1032	220	21
94	2737	1228	55
95	3163	3814	23
96	418	2597	18
97	1884	728	71
98	576	3541	51
99	102	2570	15
100	2679	3218	67
101	1715	702	30
102	3503	3867	6
103	0	0	0
104	2756	4223	60
105	3550	3890	25
106	3414	4766	22
107	2535	3776	32
108	1321	1440	49
109	812	877	18
110	637	771	30
111	3587	1993	67
112	963	3565	9
113	897	2607	6
114	2506	198	67
115	3080	2543	65
116	1647	4690	6
117	418	2597	11
118	684	1305	31
119	1066	2619	7
120	988	26	73
121	904	2858	32
122	418	2597	8
123	2347	4110	6
124	3194	1802	67
125	904	754	11
126	1719	2542	6
127	570	3205	6
128	2614	2909	25
129	372	1287	68
130	43	1045	6
131	2875	3364	79
132	1829	1222	6
133	1525	3286	39
134	478	3880	68
135	1077	510	6
136	1914	1588	6
137	2366	4063	25
138	1661	4399	71
139	0	0	0
140	804	49	32
141	317	1236	18
142	863	2436	6
143	3352	391	35
144	3163	3171	66
145	3146	2438	67
146	804	4274	53
147	2725	1623	11
148	1419	4582	29
149	2314	1932	61
150	3335	370	25
151	0	0	0
152	282	1633	54
153	1066	229	18
154	202	4590	70
155	1340	3720	73
156	982	1935	6
157	1790	3919	73
158	1862	4554	6
159	471	1683	61
160	34	3208	15
161	2875	2313	65
162	2901	4544	68
163	1762	2424	60
164	2069	2424	6
165	23	2930	22
166	3296	1088	3
167	827	1003	21
168	3550	3850	74
169	695	3310	43
170	322	4471	22
171	2129	1942	14
172	3270	3449	11
173	2773	4591	21
174	471	2333	41
175	2620	3474	6
176	3625	2242	44
177	1729	3006	8
178	1489	1221	67
179	376	1491	6
180	643	2149	17
181	269	1062	22
182	1066	2619	50
183	273	4414	6
184	2190	1089	28
185	2620	3107	6
186	812	1311	18
187	1647	2709	6
188	1042	4346	25
189	1784	3667	60
190	3310	2370	6
191	381	3382	55
192	268	2794	25
193	1829	2932	6
194	1487	4719	65
195	1799	4668	73
196	3502	2920	6
197	7	2182	67
198	1066	1700	40
199	2667	2864	71
200	3240	2138	6
201	3178	3996	54
202	2154	2927	67
203	3080	2543	79
204	335	622	32
205	1916	4382	33
206	431	34	41
207	836	3107	6
208	209	1482	6
209	3151	3531	22
210	1046	3012	75
211	0	0	0
212	453	541	20
213	1829	2228	6
214	1077	3704	6
215	2146	3192	65
216	2814	825	6
217	2414	873	11
218	3369	3561	21
219	3259	4409	71
