12065 28626 1
32571 4301 1
4301 22403 1
22403 15007 1
3035 11247 1
18945 4424 1
4424 12062 1
12062 958 1
958 13085 1
13085 31042 1
31042 21057 1
21057 20205 1
20205 21516 1
17906 26931 1
26931 2086 1
8547 30663 1
30663 22818 1
22818 20843 1
20843 26310 1
19972 12366 1
15886 13440 1
13440 23674 1
24581 15705 1
4457 653 1
653 12967 1
12967 2603 1
2603 28434 1
28434 2540 1
2540 12470 1
12470 18566 1
18566 33001 1
33001 29033 1
29033 33181 1
33181 32916 1
32916 33390 1
26598 32368 2
32368 32236 1
32236 31084 1
31084 15739 1
15739 24910 1
24910 1973 1
1973 28214 1
28214 10908 1
10908 7017 1
7017 670 1
670 3752 1
3752 17213 1
17213 11631 1
11631 5910 1
5910 30206 1
30206 21367 1
21367 21144 1
21144 23280 1
23280 18661 1
18661 16074 1
16074 14025 1
14025 20588 1
32236 20357 1
7542 14506 2
14506 10655 2
10655 25931 1
25931 7245 1
30814 24751 1
24751 3620 1
3620 25278 1
29228 7438 1
7405 2175 1
2175 19770 1
19770 14202 1
19922 9929 1
9929 12266 1
12266 22974 2
22974 10561 1
10561 6283 1
6283 31035 1
31035 10375 2
10375 33137 1
33137 22008 1
22008 25207 1
25207 32683 1
32683 23611 1
25207 31035 1
10375 6283 1
6283 29026 1
29026 33137 1
14202 19770 1
19770 17140 1
17140 14987 1
31035 12954 1
17966 31614 1
31614 33804 1
33804 32912 1
32912 20961 1
20961 332 1
332 31036 4
31036 14387 1
14387 7564 4
7564 24723 2
2855 12803 7
29263 17400 1
31830 8920 1
17549 3245 4
6897 29072 1
29072 23224 1
23224 17549 1
17549 19715 1
19715 14432 1
14432 31830 1
30401 16888 1
14951 12462 1
15747 25165 1
4954 25165 1
23784 33311 1
33311 6152 3
17549 33311 1
29213 31881 1
31881 2664 1
27206 10655 1
10655 33237 1
33237 6617 2
8354 17628 1
24987 32476 1
32476 33618 1
33618 3249 2
30298 30903 1
20159 33618 1
2714 17489 1
17489 28415 1
28415 10498 1
10498 33698 1
33698 13988 1
15653 29069 1
29069 20851 2
20851 26931 1
26931 470 2
32063 9476 1
9476 9919 1
4008 12597 1
12597 6491 1
6491 27714 1
338 20393 2
20393 6106 1
6106 12475 1
12475 27203 1
16842 23840 1
3046 1858 1
1858 14404 1
15002 18432 1
15253 2842 1
20137 5201 1
5201 28758 1
28758 4296 1
4296 27053 1
27053 17630 1
14474 28758 1
28758 10652 1
10652 28776 1
28776 28528 1
28528 4687 1
4687 2404 1
2404 2226 1
2226 20150 1
20150 11388 1
11388 18112 1
18112 22085 1
22085 25152 1
25152 33542 1
33542 7395 1
7395 10903 1
10903 7196 1
7196 228 1
228 31994 1
31994 29604 1
29604 4459 1
4459 3526 1
3526 14804 1
14804 4465 1
24243 15643 1
15643 8230 1
19686 12958 1
12958 5784 1
5784 15749 1
15749 33467 1
33467 23134 1
23134 25338 1
25338 20103 1
20103 22441 1
25338 12958 1
19517 18481 1
18481 14906 1
14906 1139 1
1139 26491 3
26491 15496 3
15405 22993 1
22993 8566 1
8566 9571 1
9571 16801 1
22993 32267 2
32267 24860 1
24860 8963 1
8963 24005 1
24005 8016 1
8016 7158 1
7158 16801 1
16801 15405 1
